time,IRL,VDS,VAC,Unnamed: 4
0.32528,0.0021658,4.78342,2.93768,
0.32628,0.00213732,4.78627,2.92818,
0.32728,0.00210869,4.78913,2.91856,
0.32828,0.0020799,4.79201,2.90882,
0.32928,0.00205098,4.7949,2.89897,
0.33028,0.00202192,4.79781,2.88901,
0.33128,0.00199275,4.80073,2.87893,
0.33228,0.00196345,4.80365,2.86874,
0.33328,0.00193405,4.80659,2.85844,
0.33428,0.00190456,4.80954,2.84802,
0.33528,0.00187497,4.8125,2.83749,
0.33628,0.00184531,4.81547,2.82685,
0.33728,0.00181557,4.81844,2.81609,
0.33828,0.00178577,4.82142,2.80523,
0.33928,0.00175591,4.82441,2.79425,
0.34028,0.00172601,4.8274,2.78317,
0.34128,0.00169607,4.83039,2.77197,
0.34228,0.0016661,4.83339,2.76067,
0.34328,0.00163612,4.83639,2.74925,
0.34428,0.00160612,4.83939,2.73773,
0.34528,0.00157612,4.84239,2.7261,
0.34628,0.00154613,4.84539,2.71436,
0.34728,0.00151616,4.84838,2.70251,
0.34828,0.00148621,4.85138,2.69056,
0.34928,0.0014563,4.85437,2.6785,
0.35028,0.00142643,4.85736,2.66634,
0.35128,0.00139662,4.86034,2.65407,
0.35228,0.00136687,4.86331,2.6417,
0.35328,0.00133719,4.86628,2.62922,
0.35428,0.0013076,4.86924,2.61663,
0.35528,0.00127809,4.87219,2.60395,
0.35628,0.00124869,4.87513,2.59116,
0.35728,0.00121939,4.87806,2.57827,
0.35828,0.00119022,4.88098,2.56528,
0.35928,0.00116117,4.88388,2.55218,
0.36028,0.00113226,4.88677,2.53899,
0.36128,0.0011035,4.88965,2.52569,
0.36228,0.0010749,4.89251,2.5123,
0.36328,0.00104647,4.89535,2.49881,
0.36428,0.00101821,4.89818,2.48521,
0.36528,0.000990134,4.90099,2.47152,
0.36628,0.000962257,4.90377,2.45774,
0.36728,0.000934585,4.90654,2.44385,
0.36828,0.000907128,4.90929,2.42987,
0.36928,0.000879896,4.91201,2.41579,
0.37028,0.000852897,4.91471,2.40162,
0.37128,0.000826142,4.91739,2.38735,
0.37228,0.000799641,4.92004,2.37299,
0.37328,0.000773403,4.92266,2.35853,
0.37428,0.000747437,4.92526,2.34398,
0.37528,0.000721754,4.92782,2.32934,
0.37628,0.000696363,4.93036,2.31461,
0.37728,0.000671273,4.93287,2.29979,
0.37828,0.000646494,4.93535,2.28487,
0.37928,0.000622037,4.9378,2.26986,
0.38028,0.00059791,4.94021,2.25477,
0.38128,0.000574123,4.94259,2.23959,
0.38228,0.000550686,4.94493,2.22431,
0.38328,0.000527609,4.94724,2.20895,
0.38428,0.000504901,4.94951,2.19351,
0.38528,0.000482572,4.95174,2.17797,
0.38628,0.000460632,4.95394,2.16235,
0.38728,0.00043909,4.95609,2.14665,
0.38828,0.000417957,4.9582,2.13085,
0.38928,0.000397241,4.96028,2.11498,
0.39028,0.000376954,4.9623,2.09902,
0.39128,0.000357104,4.96429,2.08298,
0.39228,0.000337702,4.96623,2.06686,
0.39328,0.000318758,4.96812,2.05065,
0.39428,0.000300282,4.96997,2.03437,
0.39528,0.000282283,4.97177,2.018,
0.39628,0.000264773,4.97352,2.00156,
0.39728,0.000247761,4.97522,1.98503,
0.39828,0.000231258,4.97687,1.96843,
0.39928,0.000215273,4.97847,1.95175,
0.40028,0.000199819,4.98002,1.93499,
0.40128,0.000184904,4.98151,1.91816,
0.40228,0.000170541,4.98295,1.90125,
0.40328,0.000156739,4.98433,1.88426,
0.40428,0.000143508,4.98565,1.8672,
0.40528,0.00013086,4.98691,1.85007,
0.40628,0.000118805,4.98812,1.83286,
0.40728,0.000107351,4.98926,1.81559,
0.40828,9.65095e-05,4.99035,1.79824,
0.40928,8.62876e-05,4.99137,1.78082,
0.41028,7.66928e-05,4.99233,1.76332,
0.41128,6.77313e-05,4.99323,1.74576,
0.41228,5.94072e-05,4.99406,1.72813,
0.41328,5.17222e-05,4.99483,1.71043,
0.41428,4.46752e-05,4.99553,1.69267,
0.41528,3.82616e-05,4.99617,1.67484,
